date,ticker,recommendation,confidence,rsi,macd_signal,sentiment_score,sentiment_source,forward_return_5d,ibovespa_return_5d,beat_ibov
2026-03-26,PETR4,VENDER,0.75,77.99,bullish,0.3949,gdelt,0.2707,2.9108,False
2026-03-26,VALE3,VENDER,1.0,45.83,bearish,0.5407,gdelt,5.8801,2.9108,True
2026-03-26,BBAS3,AGUARDAR,0.5,43.75,bearish,0.4867,gdelt,1.4311,2.9108,False
2026-03-26,ITUB4,VENDER,1.0,47.26,bearish,0.5563,gdelt,3.2859,2.9108,True
2026-03-27,PETR4,VENDER,0.67,79.21,bullish,0.406,gdelt,-0.9512,3.638,False
2026-03-27,VALE3,AGUARDAR,0.5,44.45,bearish,0.539,gdelt,5.1772,3.638,True
2026-03-27,BBAS3,AGUARDAR,0.5,38.05,bearish,0.49,gdelt,3.3981,3.638,False
2026-03-27,ITUB4,AGUARDAR,0.5,41.75,bearish,0.5074,gdelt,4.9655,3.638,True
2026-03-30,PETR4,VENDER,0.75,82.09,bullish,0.391,gdelt,-2.3354,3.1477,False
2026-03-30,VALE3,COMPRAR,1.0,45.13,bullish,0.5463,gdelt,5.2704,3.1477,True
2026-03-30,BBAS3,AGUARDAR,0.5,34.67,bearish,0.4952,gdelt,4.6429,3.1477,True
2026-03-30,ITUB4,AGUARDAR,0.5,39.18,bearish,0.4946,gdelt,4.5149,3.1477,True
2026-03-31,PETR4,VENDER,0.75,81.96,bullish,0.3983,gdelt,-4.2326,2.528,False
2026-03-31,VALE3,COMPRAR,1.0,47.19,bullish,0.5473,gdelt,3.7706,2.528,True
2026-03-31,BBAS3,AGUARDAR,0.5,33.71,bearish,0.4926,gdelt,6.4783,2.528,True
2026-03-31,ITUB4,AGUARDAR,0.5,40.97,bearish,0.5389,gdelt,3.4931,2.528,True
2026-04-01,PETR4,VENDER,0.67,73.25,bullish,0.4027,gdelt,1.1189,3.818,False
2026-04-01,VALE3,AGUARDAR,0.5,56.61,bullish,0.543,gdelt,2.0361,3.818,False
2026-04-01,BBAS3,AGUARDAR,0.5,40.7,bearish,0.4782,gdelt,4.6128,3.818,True
2026-04-01,ITUB4,COMPRAR,1.0,52.09,bullish,0.5344,gdelt,4.3806,3.818,True
2026-04-02,PETR4,VENDER,1.0,63.77,bearish,0.3972,gdelt,1.8276,4.9306,False
2026-04-02,VALE3,AGUARDAR,0.5,58.01,bullish,0.5401,gdelt,2.4416,4.9306,False
2026-04-02,BBAS3,VENDER,1.0,47.03,bearish,0.4905,gdelt,5.7289,4.9306,True
2026-04-02,ITUB4,COMPRAR,1.0,53.92,bullish,0.5417,gdelt,6.3972,4.9306,True
2026-04-06,PETR4,VENDER,1.0,67.23,bearish,0.3989,gdelt,1.7164,5.229,False
2026-04-06,VALE3,AGUARDAR,0.5,59.32,bullish,0.525,gdelt,5.139,5.229,False
2026-04-06,BBAS3,AGUARDAR,0.5,44.21,bearish,0.4773,gdelt,5.6338,5.229,True
2026-04-06,ITUB4,COMPRAR,1.0,49.89,bullish,0.5378,gdelt,5.3806,5.229,True
2026-04-07,PETR4,VENDER,1.0,69.87,bearish,0.3869,gdelt,-1.2987,5.5232,False
2026-04-07,VALE3,AGUARDAR,0.5,56.78,bullish,0.5237,gdelt,5.5084,5.5232,False
2026-04-07,BBAS3,VENDER,1.0,45.39,bearish,0.4778,gdelt,8.2764,5.5232,True
2026-04-07,ITUB4,COMPRAR,1.0,52.08,bullish,0.5541,gdelt,7.064,5.5232,True
2026-04-08,PETR4,VENDER,1.0,66.68,bearish,0.381,gdelt,0.6007,2.8808,False
2026-04-08,VALE3,AGUARDAR,0.5,58.51,bullish,0.5212,gdelt,3.3298,2.8808,True
2026-04-08,BBAS3,COMPRAR,1.0,45.36,bullish,0.4801,gdelt,-0.3675,2.8808,False
2026-04-08,ITUB4,COMPRAR,1.0,51.23,bullish,0.5529,gdelt,4.5798,2.8808,True
2026-04-09,PETR4,VENDER,1.0,55.15,bearish,0.381,gdelt,1.4196,0.8661,True
2026-04-09,VALE3,AGUARDAR,0.5,64.29,bullish,0.5264,gdelt,3.2471,0.8661,True
2026-04-09,BBAS3,AGUARDAR,0.5,55.47,bullish,0.4829,gdelt,-1.7799,0.8661,False
2026-04-09,ITUB4,AGUARDAR,0.5,58.98,bullish,0.5521,gdelt,2.6885,0.8661,True
2026-04-10,PETR4,VENDER,1.0,60.58,bearish,0.3943,gdelt,-5.7312,-0.8058,False
2026-04-10,VALE3,AGUARDAR,0.5,60.67,bullish,0.5337,gdelt,4.8604,-0.8058,True
2026-04-10,BBAS3,AGUARDAR,0.5,56.21,bullish,0.5008,gdelt,-1.3344,-0.8058,False
2026-04-10,ITUB4,AGUARDAR,0.5,62.39,bullish,0.5621,gdelt,1.5845,-0.8058,True
2026-04-13,PETR4,VENDER,1.0,64.35,bearish,0.4198,gdelt,-5.5444,-0.9439,False
2026-04-13,VALE3,AGUARDAR,0.5,64.23,bullish,0.5462,gdelt,1.5682,-0.9439,True
2026-04-13,BBAS3,AGUARDAR,0.5,57.91,bullish,0.4963,gdelt,-1.899,-0.9439,False
2026-04-13,ITUB4,AGUARDAR,0.5,64.37,bullish,0.5436,gdelt,1.1783,-0.9439,True
2026-04-14,PETR4,VENDER,1.0,66.02,bearish,0.4118,gdelt,-0.4386,-2.9035,True
2026-04-14,VALE3,AGUARDAR,0.5,66.93,bullish,0.5345,gdelt,-1.2231,-2.9035,True
2026-04-14,BBAS3,AGUARDAR,0.5,57.57,bullish,0.4812,gdelt,-7.8014,-2.9035,False
2026-04-14,ITUB4,AGUARDAR,0.5,62.52,bullish,0.5394,gdelt,-3.2237,-2.9035,False
2026-04-15,PETR4,VENDER,1.0,56.5,bearish,0.4147,gdelt,3.3139,-3.2164,True
2026-04-15,VALE3,AGUARDAR,0.5,69.02,bullish,0.5326,gdelt,-2.7929,-3.2164,True
2026-04-15,BBAS3,AGUARDAR,0.5,62.78,bullish,0.491,gdelt,-5.7377,-3.2164,False
2026-04-15,ITUB4,AGUARDAR,0.5,64.91,bullish,0.5482,gdelt,-6.0799,-3.2164,False
2026-04-16,PETR4,VENDER,1.0,52.08,bearish,0.4184,gdelt,-1.5536,-3.0861,True
2026-04-16,VALE3,AGUARDAR,0.5,69.07,bullish,0.5345,gdelt,-1.7955,-3.0861,True
2026-04-16,BBAS3,COMPRAR,1.0,51.96,bullish,0.5016,gdelt,-6.5074,-3.0861,False
2026-04-16,ITUB4,AGUARDAR,0.5,67.34,bullish,0.5557,gdelt,-5.5556,-3.0861,False
2026-04-17,PETR4,VENDER,1.0,58.02,bearish,0.4308,gdelt,3.9338,-3.1446,True
2026-04-17,VALE3,AGUARDAR,0.5,65.08,bullish,0.5374,gdelt,-4.7354,-3.1446,False
2026-04-17,BBAS3,COMPRAR,1.0,51.23,bullish,0.5108,gdelt,-7.7459,-3.1446,False
2026-04-17,ITUB4,AGUARDAR,0.5,67.16,bullish,0.5529,gdelt,-6.0043,-3.1446,False
2026-04-20,PETR4,VENDER,1.0,49.46,bearish,0.411,gdelt,2.489,-3.8306,True
2026-04-20,VALE3,VENDER,0.67,70.47,bullish,0.5434,gdelt,-4.8912,-3.8306,False
2026-04-20,BBAS3,COMPRAR,1.0,53.3,bullish,0.48,gdelt,-7.1664,-3.8306,False
2026-04-20,ITUB4,AGUARDAR,0.5,66.56,bullish,0.5433,gdelt,-4.8954,-3.8306,False
